image_name,iou,dice,pixel_accuracy,n_predicted,n_true,true_positives,false_positives,false_negatives,precision,recall,f1_score
831218e6a1a54b23d4be56c5799854e7eb978811b89215319dc138900bd563e6,0.9410611562811325,0.969635761589404,0.9858487654320988,17,18,17,0,1,1.0,0.9444444444444444,0.9714285714285714
1609b1b8480ee52652a644403b3f7d5511410a016750aa3b9a4c8ddb3e893e8e,0.9483472524387676,0.9734889417188963,0.988641975308642,17,19,17,0,2,1.0,0.8947368421052632,0.9444444444444444
6bc8cda54f5b66a2a27d962ac219f8075bf7cc43b87ba0c9e776404370429e80,0.9439820944454952,0.9711839395462727,0.9862885802469136,16,17,16,0,1,1.0,0.9411764705882353,0.9696969696969697
1c2f9e121fc207efff79d46390df1a740566b683ff56a96d8cabe830a398dd2e,0.9109780439121756,0.9534155003133487,0.9965972900390625,10,10,10,0,0,1.0,1.0,1.0
6bd18a218d25247dc456aed124c066a6397fb93086e860e4d04014bfa9c9555d,0.8941933299475199,0.9441415676110466,0.9904632568359375,42,42,42,0,0,1.0,1.0,1.0
0c2550a23b8a0f29a7575de8c61690d3c31bc897dd5ba66caec201d201a278c2,0.7957715342256522,0.8862725787317859,0.93797607421875,43,52,43,0,7,1.0,0.86,0.924731182795699
55ff2b0ec48b76e10c7ee18add5794005cd551697f96af865c763d50da78dd9c,0.8242280285035629,0.9036458333333334,0.9864501953125,14,19,14,0,5,1.0,0.7368421052631579,0.8484848484848484
33a5b0ff232b425796ee6a9dd5b516ff9aad54ca723b4ec490bf5cd9b2e2a731,0.8280125402923124,0.9059156018261311,0.95245361328125,13,17,13,0,2,1.0,0.8666666666666667,0.9285714285714286
e5384c905e9879cb6e8ff5250fb03155bc1db035d8dde458eece9078b7de8ff1,0.9532720531777198,0.9760770924120581,0.9835648148148148,23,22,23,0,0,1.0,1.0,1.0
ef3ef194e5657fda708ecbd3eb6530286ed2ba23c88efb9f1715298975c73548,0.8102930761188493,0.8952065130316523,0.93133544921875,55,58,55,0,6,1.0,0.9016393442622951,0.9482758620689655
b2c23ddb04531158da6a0abcaca78fec0ae5c6f64f60166e4f36f4a161efd76f,0.9371845204711161,0.9675738274464389,0.998291015625,10,10,10,0,0,1.0,1.0,1.0
449f41710769584b5e4eca8ecb4c76d5272605f27da2949e6285de0860d2cbc0,0.9560742268041237,0.9775439129078229,0.9926420203359858,29,29,29,0,0,1.0,1.0,1.0
2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,0.917098445595855,0.9567567567567568,0.99658203125,16,16,16,0,0,1.0,1.0,1.0
c620631271a56407d6d69fa1a69451ca99c50dcc30e29db04cf6fb7cacbde8cb,0.8164326573062922,0.8989407386200974,0.9946136474609375,11,11,11,0,0,1.0,1.0,1.0
4d4f254f3b8b4408d661df3735591554b2f6587ce1952928d619b48010d55467,0.8747534516765286,0.9331930562861652,0.97364501953125,14,15,14,0,1,1.0,0.9333333333333333,0.9655172413793104
d0f2a00d3155c243048bc48944aef93fb08e2258d1fa5f9ccadd9140082bc22f,0.9338143699908337,0.965774569143635,0.9782716049382716,24,25,24,0,1,1.0,0.96,0.9795918367346939
60cb718759bff13f81c4055a7679e81326f78b6a193a2d856546097c949b20ff,0.8983809851877368,0.946470694973689,0.990997314453125,26,26,25,1,1,0.9615384615384616,0.9615384615384616,0.9615384615384616
ec031f176dafe0b36547068ce42eab39428ec7995dac1b3ea52d1db79b61fdeb,0.946376811594203,0.9724497393894267,0.998870849609375,9,9,9,0,0,1.0,1.0,1.0
942d56861fc83e195e9c559a000bb86627d8682f8dcc2300818458e5b6850dd0,0.834449609959814,0.9097547356213221,0.9679412841796875,50,50,50,0,0,1.0,1.0,1.0
351771edfc5db5665ded8aa4940257276b6526663c76e3b60b92a52584d8943c,0.7953258221680877,0.8859960819898742,0.9628564323607427,97,97,97,0,2,1.0,0.9797979797979798,0.989795918367347
c7d546766518703580f63d5d8f11d54971044753f53c0b257d19c2f99d4bfdd0,0.7019896193771626,0.8249047013977129,0.9264068603515625,40,43,40,0,5,1.0,0.8888888888888888,0.9411764705882353
4e07a653352b30bb95b60ebc6c57afbc7215716224af731c51ff8d430788cd40,0.7258064516129032,0.8411214953271028,0.9944877624511719,75,95,75,0,13,1.0,0.8522727272727273,0.9202453987730062
75120baa6abcbfe750a4eb223b8c10ae6bc3bebdda7b00d9a78bc2472fa28625,0.8958299264104661,0.9450530492538601,0.9902801513671875,27,32,27,0,5,1.0,0.84375,0.9152542372881356
f35ab34528e3e2d2589d24cbffc0e10024dfc474a68585d0b5feb7b05aa0067f,0.9178657074340527,0.9571741169115349,0.9979095458984375,8,8,8,0,0,1.0,1.0,1.0
77ceeb87f560775ac150b8b9b09684ed3e806d0af6f26cce8f10c5fc280f5df2,0.6659511884887511,0.7994846344722275,0.935882568359375,28,29,28,0,0,1.0,1.0,1.0
3ebd2ab34ba86e515feb79ffdeb7fc303a074a98ba39949b905dbde3ff4b7ec0,0.9291539010849784,0.9632760772091968,0.983004531388152,121,117,119,2,0,0.9834710743801653,1.0,0.9916666666666667
44ab6a09eedee848b072ea3acd0f4e781f9c43b8d4e3d62598e1024584bf0b01,0.8397388213901975,0.9128891684262546,0.9704132080078125,26,28,26,0,1,1.0,0.9629629629629629,0.9811320754716981
420f43d21dbaba42bf8c0995b3a2c85537876d594433770c6c6f3d6b779ec15f,0.7872860635696821,0.8809849521203831,0.95433349609375,29,35,29,0,5,1.0,0.8529411764705882,0.9206349206349206
3441821ebea04face181c9e2f4d0d09727c764827ac51b9e7fbadbebabeab225,0.9364887459807074,0.9672028798767285,0.9809490740740741,19,21,19,0,0,1.0,1.0,1.0
8175a55b711c948fe383bd3b91b6ca1b9e048a5241e0be13aff31ce2674fbe6d,0.8991935483870968,0.9469214437367304,0.9973297119140625,11,11,11,0,0,1.0,1.0,1.0
4ca5081854df7bbcaa4934fcf34318f82733a0f8c05b942c2265eea75419d62f,0.8146409540725704,0.8978535971474516,0.98216552734375,27,30,27,0,1,1.0,0.9642857142857143,0.9818181818181818
ce9e1a58b58940039ae841466198b72ea21cc90584039a9294b47f5aef17ddfa,0.8549235181644359,0.9217884293261178,0.9907379150390625,24,26,24,0,1,1.0,0.96,0.9795918367346939
bc115ff727e997a88f7cfe4ce817745731a6c753cb9fab6a36e7e66b415a1d3d,0.8779584099264706,0.9350136885734824,0.9672145061728395,18,19,18,0,1,1.0,0.9473684210526315,0.972972972972973
b3bfd873fca7ff9b2e90f507dfdbe165bb8c153399b6ba5829aa59bae677a91d,0.8867549668874172,0.93997893997894,0.9973907470703125,7,8,7,0,1,1.0,0.875,0.9333333333333333
45cc00f2ef95da6698bf590663e319d7c0ed4fb99d42dd3cf4060887da74fb81,0.968443799769101,0.9839689605389798,0.9917746913580247,16,16,16,0,0,1.0,1.0,1.0
37ed50eea5a1e0bade3e6753793b6caeb061cd4c2f365658c257f69cab1f6288,0.6310712282669658,0.7738119799188502,0.899627685546875,30,32,30,0,3,1.0,0.9090909090909091,0.9523809523809523
b67a6e5da8b1cfa5319d94a7d3f8b706725753346c37a4636bf7382e98b3c5df,0.8797169811320755,0.9360100376411543,0.9961090087890625,9,9,9,0,0,1.0,1.0,1.0
6bd330234b763b77796d4804de8e224881c0fc8dd02650fa708b2edfd8c7461f,0.9377657420530472,0.9678834976817083,0.9810262345679013,23,22,21,2,0,0.9130434782608695,1.0,0.9545454545454545
5ba4facefc949c920d7054813a3e846b000969da2ed860148bdfd18456f59bcc,0.9226453587215233,0.959766557608984,0.9754243827160494,21,21,21,0,0,1.0,1.0,1.0
a22b7882fa85b9f0fcef659a7b82bfcddf01710f9a7617a9e036e84ac6901841,0.7071817071817071,0.8284785435630689,0.959747314453125,23,29,23,0,6,1.0,0.7931034482758621,0.8846153846153846
8e507d58f4c27cd2a82bee79fe27b069befd62a46fdaed20970a95a2ba819c7b,0.7377049180327869,0.8490566037735849,0.9966796875,5,6,5,0,1,1.0,0.8333333333333334,0.9090909090909091
dbbfe08a52688d0ac8de9161cbb17cb201e3991aacab8ab8a77fe0e203a69481,0.7628883578012974,0.8654982085794519,0.957611083984375,33,37,33,0,5,1.0,0.868421052631579,0.9295774647887324
c6216cdc42f61bc345434986db42e2ef9b9741aee3210b7a808e952e319d2305,0.7980730630268968,0.8876981469077919,0.9923248291015625,22,23,22,0,0,1.0,1.0,1.0
8de0b1a2e8f614af29fe5fafeaa5bdf55e6b3e65edf36355f19b707f7649ce2b,0.9298701298701298,0.9636608344549125,0.997528076171875,9,9,9,0,0,1.0,1.0,1.0
84eeec681987753029eb83ea5f3ff7e8b5697783cdb2035f2882d40c9a3f1029,0.15819209039548024,0.2731707317073171,0.986358642578125,1,1,1,0,0,1.0,1.0,1.0
fec226e45f49ab81ab71e0eaa1248ba09b56a328338dce93a43f4044eababed5,0.8911973756150902,0.9424689216536571,0.9969635009765625,12,13,12,0,1,1.0,0.9230769230769231,0.9600000000000001
8d05fb18ee0cda107d56735cafa6197a31884e0a5092dc6d41760fb92ae23ab4,0.8945978123372275,0.9443669854486185,0.9972982406616211,82,83,81,1,2,0.9878048780487805,0.9759036144578314,0.9818181818181818
29ea4f6eb4545f43868a9b40a60000426bf8dfd9d062546656a37bd2a2aaf9ec,0.7806700183244843,0.8768272732070294,0.98575439453125,12,12,12,0,1,1.0,0.9230769230769231,0.9600000000000001
4d40de30a3db3bc4f241cb7f48e8497c11e8f20a99bf55788bdce17242029745,0.8615937687237867,0.925651754103637,0.992950439453125,25,27,25,0,1,1.0,0.9615384615384616,0.9803921568627451
5bb8508ff8ec8683fc6a8aa6bd470f6feb3af4eccdca07f51a1ebc9dad67cfb8,0.9603344317464769,0.979765917686716,0.9937472369584438,32,32,32,0,1,1.0,0.9696969696969697,0.9846153846153847
5b2ccfb94dedf2ec8797c0404fc324888e35ab903c41bb26f070552033ca8e6c,0.8034308957467504,0.8910026967393969,0.9660797119140625,31,33,31,0,0,1.0,1.0,1.0
cb4df20a83b2f38b394c67f1d9d4aef29f9794d5345da3576318374ec3a11490,0.7652835449943928,0.8670375330517496,0.9899037308217821,220,241,217,3,26,0.9863636363636363,0.8930041152263375,0.937365010799136
84e642d75ae6ece8147272418b6fe13d04db8d076fe306c4acedc329fceab564,0.8993074054342035,0.946984572230014,0.994232177734375,18,18,18,0,0,1.0,1.0,1.0
